student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
10006,2017,Fall,Math,204,81,4,10
10009,2017,Fall,Math,203,95,4,7
10035,2017,Fall,Math,175,88,4,17
10053,2017,Fall,Math,213,54,3,10
10074,2017,Fall,Math,195,27,2,10
10077,2017,Fall,Math,210,18,1,6
10120,2017,Fall,Math,215,35,2,6
10128,2017,Fall,Math,176,89,4,17
10148,2017,Fall,Math,189,73,3,11
10150,2017,Fall,Math,177,39,2,13
10153,2017,Fall,Math,151,77,4,17
10156,2017,Fall,Math,221,90,4,9
10158,2017,Fall,Math,199,91,4,8
10194,2017,Fall,Math,230,53,3,4
10209,2017,Fall,Math,184,27,2,13
10213,2017,Fall,Math,195,27,2,10
10230,2017,Fall,Math,201,74,3,11
10235,2017,Fall,Math,180,48,2,13
10241,2017,Fall,Math,162,58,3,21
10250,2017,Fall,Math,207,11,1,5
10312,2017,Fall,Math,187,68,3,11
10335,2017,Fall,Math,181,94,4,16
10355,2017,Fall,Math,140,50,3,19
10360,2017,Fall,Math,146,17,1,25
10382,2017,Fall,Math,222,35,2,4
10406,2017,Fall,Math,210,68,3,10
10423,2017,Fall,Math,227,54,3,5
10434,2017,Fall,Math,194,99,4,13
10442,2017,Fall,Math,189,41,2,12
10443,2017,Fall,Math,125,16,1,22
10458,2017,Fall,Math,171,24,1,15
10475,2017,Fall,Math,146,17,1,25
10537,2017,Fall,Math,169,76,4,19
10540,2017,Fall,Math,210,46,2,10
10555,2017,Fall,Math,173,84,4,18
10559,2017,Fall,Math,189,73,3,11
10566,2017,Fall,Math,207,86,4,10
10574,2017,Fall,Math,172,83,4,18
10586,2017,Fall,Math,164,64,3,20
10600,2017,Fall,Math,228,56,3,5
10638,2017,Fall,Math,202,8,1,6
10642,2017,Fall,Math,157,44,2,22
10652,2017,Fall,Math,208,15,1,6
10658,2017,Fall,Math,177,13,1,13
10662,2017,Fall,Math,222,52,3,5
10671,2017,Fall,Math,207,11,1,5
10672,2017,Fall,Math,217,26,2,5
10696,2017,Fall,Math,219,70,3,10
10700,2017,Fall,Math,190,44,2,12
10713,2017,Fall,Math,212,21,1,6
10720,2017,Fall,Math,140,50,3,19
10763,2017,Fall,Math,192,50,3,12
10786,2017,Fall,Math,229,68,3,4
10804,2017,Fall,Math,194,25,2,10
10819,2017,Fall,Math,126,18,1,22
10823,2017,Fall,Math,157,44,2,22
10851,2017,Fall,Math,190,3,1,9
10858,2017,Fall,Math,216,37,2,5
10871,2017,Fall,Math,162,58,3,21
10920,2017,Fall,Math,207,19,1,6
10931,2017,Fall,Math,190,99,4,13
10939,2017,Fall,Math,212,93,4,10
10981,2017,Fall,Math,128,21,1,22
11013,2017,Fall,Math,169,1,1,9
11056,2017,Fall,Math,203,79,4,11
11103,2017,Fall,Math,181,51,3,12
11148,2017,Fall,Math,136,39,2,20
11151,2017,Fall,Math,203,49,2,10
11167,2017,Fall,Math,191,47,2,12
11169,2017,Fall,Math,195,58,3,11
11176,2017,Fall,Math,149,23,1,24
11180,2017,Fall,Math,191,3,1,8
11196,2017,Fall,Math,175,10,1,14
11213,2017,Fall,Math,216,24,1,5
11220,2017,Fall,Math,197,16,1,10
11286,2017,Fall,Math,156,41,2,22
11298,2017,Fall,Math,208,98,4,6
11302,2017,Fall,Math,216,29,2,5
11316,2017,Fall,Math,227,54,3,5
11318,2017,Fall,Math,214,78,4,9
11320,2017,Fall,Math,205,55,3,10
11333,2017,Fall,Math,140,8,1,26
11346,2017,Fall,Math,181,21,1,13
11366,2017,Fall,Math,204,10,1,6
11369,2017,Fall,Math,142,55,3,19
11378,2017,Fall,Math,202,94,4,8
11380,2017,Fall,Math,210,91,4,10
11387,2017,Fall,Math,163,61,3,20
11408,2017,Fall,Math,157,87,4,15
11409,2017,Fall,Math,221,49,2,5
11412,2017,Fall,Math,131,27,2,21
11452,2017,Fall,Math,132,30,2,21
11457,2017,Fall,Math,176,12,1,13
11465,2017,Fall,Math,161,55,3,21
11472,2017,Fall,Math,174,2,1,11
11473,2017,Fall,Math,192,50,3,12
11512,2017,Fall,Math,223,54,3,5
11519,2017,Fall,Math,171,81,4,18
11538,2017,Fall,Math,200,92,4,8
11578,2017,Fall,Math,207,60,3,10
11595,2017,Fall,Math,121,10,1,23
11608,2017,Fall,Math,140,50,3,19
11635,2017,Fall,Math,146,65,3,18
11649,2017,Fall,Math,137,42,2,20
11661,2017,Fall,Math,194,25,2,10
11666,2017,Fall,Math,135,37,2,20
11702,2017,Fall,Math,196,30,2,10
11710,2017,Fall,Math,185,30,2,13
11737,2017,Fall,Math,143,58,3,18
11768,2017,Fall,Math,199,69,3,11
11784,2017,Fall,Math,172,83,4,18
11824,2017,Fall,Math,141,53,3,19
11853,2017,Fall,Math,150,75,4,17
11885,2017,Fall,Math,195,13,1,10
11927,2017,Fall,Math,180,48,2,13
11928,2017,Fall,Math,200,22,1,10
11946,2017,Fall,Math,175,33,2,14
11949,2017,Fall,Math,223,78,4,10
11975,2017,Fall,Math,182,23,1,13
11987,2017,Fall,Math,184,59,3,12
12003,2017,Fall,Math,177,39,2,13
12008,2017,Fall,Math,165,67,3,20
12017,2017,Fall,Math,184,1,1,8
12023,2017,Fall,Math,212,73,3,10
12036,2017,Fall,Math,203,13,1,7
12073,2017,Fall,Math,123,13,1,23
12094,2017,Fall,Math,165,67,3,20
12101,2017,Fall,Math,169,19,1,15
12127,2017,Fall,Math,133,32,2,21
12142,2017,Fall,Math,229,59,3,5
12148,2017,Fall,Math,187,12,1,11
12151,2017,Fall,Math,132,30,2,21
12153,2017,Fall,Math,189,41,2,12
12181,2017,Fall,Math,191,3,1,8
12200,2017,Fall,Math,193,81,4,10
12207,2017,Fall,Math,138,45,2,20
12220,2017,Fall,Math,206,17,1,7
12230,2017,Fall,Math,197,16,1,10
