student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
10006,2017,Fall,Math,204,81,4,10
10006,2017,Spring,Math,214,78,4,.
10006,2017,Fall,Reading,221,98,4,5
10006,2017,Spring,Reading,216,88,4,.
10009,2017,Fall,Math,203,95,4,7
10009,2017,Spring,Math,199,69,3,.
10009,2017,Fall,Reading,209,98,4,4
10009,2017,Spring,Reading,209,91,4,.
10035,2017,Fall,Math,175,88,4,17
10035,2017,Spring,Math,176,36,2,.
10035,2017,Fall,Reading,148,21,1,21
10035,2017,Spring,Reading,157,8,1,.
10053,2017,Fall,Math,213,54,3,10
10053,2017,Spring,Math,219,44,2,.
10053,2017,Fall,Reading,193,20,1,8
10053,2017,Spring,Reading,212,51,3,.
10074,2017,Fall,Math,195,27,2,10
10074,2017,Fall,Reading,185,18,1,10
10074,2017,Spring,Reading,170,1,1,.
10074,2017,Spring,Math,.,.,.,.
10077,2017,Fall,Math,210,18,1,6
10077,2017,Spring,Reading,.,.,.,.
10077,2017,Fall,Reading,223,69,3,2
10077,2017,Spring,Math,.,.,.,.
10120,2017,Fall,Math,215,35,2,6
10120,2017,Spring,Math,220,38,2,.
10120,2017,Fall,Reading,211,48,2,4
10120,2017,Spring,Reading,213,43,2,.
10128,2017,Fall,Math,176,89,4,17
10128,2017,Spring,Math,191,77,4,.
10128,2017,Fall,Reading,183,97,4,13
10128,2017,Spring,Reading,203,96,4,.
10148,2017,Fall,Math,189,73,3,11
10148,2017,Spring,Reading,.,.,.,.
10148,2017,Fall,Reading,177,49,2,11
10148,2017,Spring,Math,.,.,.,.
10150,2017,Fall,Math,177,39,2,13
10150,2017,Spring,Math,188,38,2,.
10150,2017,Fall,Reading,166,21,1,13
10150,2017,Spring,Reading,187,46,2,.
10153,2017,Fall,Math,151,77,4,17
10153,2017,Spring,Math,176,89,4,.
10153,2017,Fall,Reading,148,70,3,16
10153,2017,Spring,Reading,165,70,3,.
10156,2017,Fall,Math,221,90,4,9
10156,2017,Spring,Math,235,92,4,.
10156,2017,Fall,Reading,221,93,4,4
10156,2017,Spring,Reading,228,93,4,.
10158,2017,Fall,Math,199,91,4,8
10158,2017,Spring,Math,197,64,3,.
10158,2017,Fall,Reading,198,92,4,7
10158,2017,Spring,Reading,197,71,3,.
10194,2017,Fall,Math,230,53,3,4
10194,2017,Spring,Math,235,58,3,.
10194,2017,Fall,Reading,210,29,2,4
10194,2017,Spring,Reading,211,28,2,.
10209,2017,Fall,Math,184,27,2,13
10209,2017,Spring,Math,191,18,1,.
10209,2017,Fall,Reading,190,53,3,10
10209,2017,Spring,Reading,182,14,1,.
10213,2017,Fall,Math,195,27,2,10
10213,2017,Spring,Math,210,41,2,.
10213,2017,Fall,Reading,206,69,3,6
10213,2017,Spring,Reading,208,56,3,.
10230,2017,Fall,Math,201,74,3,11
10230,2017,Fall,Reading,204,84,4,8
10230,2017,Spring,Reading,.,.,.,.
10230,2017,Spring,Math,.,.,.,.
10235,2017,Fall,Math,180,48,2,13
10235,2017,Spring,Math,177,13,1,.
10235,2017,Fall,Reading,180,57,3,10
10235,2017,Spring,Reading,164,5,1,.
10241,2017,Fall,Math,162,58,3,21
10241,2017,Spring,Math,183,56,3,.
10241,2017,Fall,Reading,161,59,3,18
10241,2017,Spring,Reading,176,46,2,.
10250,2017,Fall,Math,207,11,1,5
10250,2017,Spring,Math,216,22,1,.
10250,2017,Fall,Reading,200,12,1,6
10250,2017,Spring,Reading,200,10,1,.
10312,2017,Fall,Math,187,68,3,11
10312,2017,Spring,Math,199,69,3,.
10312,2017,Fall,Reading,181,60,3,10
10312,2017,Spring,Reading,210,92,4,.
10335,2017,Fall,Math,181,94,4,16
10335,2017,Spring,Math,227,99,4,.
10335,2017,Fall,Reading,167,76,4,17
10335,2017,Spring,Reading,194,87,4,.
10355,2017,Fall,Math,140,50,3,19
10355,2017,Spring,Math,161,55,3,.
10355,2017,Fall,Reading,145,62,3,16
10355,2017,Spring,Reading,154,37,2,.
10360,2017,Fall,Math,146,17,1,25
10360,2017,Spring,Math,175,33,2,.
10360,2017,Fall,Reading,150,26,2,21
10360,2017,Spring,Reading,167,23,1,.
10382,2017,Fall,Math,222,35,2,4
10382,2017,Fall,Reading,223,63,3,2
10382,2017,Spring,Reading,.,.,.,.
10382,2017,Spring,Math,.,.,.,.
10406,2017,Fall,Math,210,68,3,10
10406,2017,Spring,Math,219,64,3,.
10406,2017,Fall,Reading,201,56,3,7
10406,2017,Spring,Reading,210,61,3,.
10423,2017,Fall,Math,227,54,3,5
10423,2017,Fall,Reading,223,69,3,2
10423,2017,Spring,Reading,.,.,.,.
10423,2017,Spring,Math,.,.,.,.
10434,2017,Fall,Math,194,99,4,13
10434,2017,Spring,Math,207,97,4,.
10434,2017,Fall,Reading,197,99,4,10
10434,2017,Spring,Reading,215,99,4,.
10442,2017,Fall,Math,189,41,2,12
10442,2017,Spring,Reading,.,.,.,.
10442,2017,Fall,Reading,184,38,2,11
10442,2017,Spring,Math,.,.,.,.
