student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
22938,2017,Fall,Math,160,52,3,21
22431,2017,Fall,Math,164,64,3,20
18048,2017,Fall,Math,151,28,2,23
14407,2017,Fall,Math,167,72,3,19
25452,2017,Fall,Math,176,89,4,17
24621,2017,Fall,Math,171,81,4,18
10241,2017,Fall,Math,162,58,3,21
25649,2017,Fall,Math,159,50,3,21
22326,2017,Fall,Math,161,55,3,21
15104,2017,Fall,Math,156,41,2,22
18086,2017,Fall,Math,168,74,3,19
22734,2017,Fall,Math,167,72,3,19
26368,2017,Fall,Math,151,28,2,23
26962,2017,Fall,Math,172,83,4,18
18109,2017,Fall,Math,162,58,3,21
12367,2017,Fall,Math,168,74,3,19
11465,2017,Fall,Math,161,55,3,21
28217,2017,Fall,Math,176,89,4,17
20048,2017,Fall,Math,158,47,2,22
27878,2017,Fall,Math,165,67,3,20
19127,2017,Fall,Math,167,72,3,19
22331,2017,Fall,Math,156,41,2,22
25826,2017,Fall,Math,140,8,1,26
11519,2017,Fall,Math,171,81,4,18
19016,2017,Fall,Math,174,86,4,18
22820,2017,Fall,Math,173,84,4,18
22276,2017,Fall,Reading,.,.,.,.
17371,2017,Fall,Math,168,74,3,19
27828,2017,Fall,Reading,.,.,.,.
17490,2017,Fall,Math,161,55,3,21
15616,2017,Fall,Math,148,21,1,24
10537,2017,Fall,Math,169,76,4,19
19183,2017,Fall,Math,157,44,2,22
22775,2017,Fall,Math,178,92,4,17
16231,2017,Fall,Math,165,67,3,20
22598,2017,Fall,Math,178,92,4,17
16654,2017,Fall,Math,167,72,3,19
19283,2017,Fall,Math,174,86,4,18
16075,2017,Fall,Math,159,50,3,21
10451,2017,Fall,Reading,.,.,.,.
24998,2017,Fall,Math,158,47,2,22
29109,2017,Fall,Math,156,41,2,22
29131,2017,Fall,Math,172,83,4,18
13887,2017,Fall,Math,170,79,4,19
26182,2017,Fall,Math,158,47,2,22
21805,2017,Fall,Math,168,74,3,19
17569,2017,Fall,Math,162,58,3,21
25813,2017,Fall,Math,155,38,2,22
22255,2017,Fall,Math,159,50,3,21
14719,2017,Fall,Math,147,19,1,24
25157,2017,Fall,Math,169,76,4,19
15352,2017,Fall,Math,166,69,3,20
12611,2017,Fall,Math,126,1,1,30
11176,2017,Fall,Math,149,23,1,24
27184,2017,Fall,Math,169,76,4,19
22262,2017,Fall,Math,152,30,2,23
20244,2017,Fall,Math,174,86,4,18
20538,2017,Fall,Math,166,69,3,20
20765,2017,Fall,Math,147,19,1,24
24547,2017,Fall,Math,171,81,4,18
26468,2017,Fall,Math,168,74,3,19
25212,2017,Fall,Math,183,96,4,15
27715,2017,Fall,Math,157,44,2,22
10574,2017,Fall,Math,172,83,4,18
14892,2017,Fall,Math,187,98,4,14
14598,2017,Fall,Math,162,58,3,21
20680,2017,Fall,Math,174,86,4,18
19375,2017,Fall,Math,177,90,4,17
14487,2017,Fall,Math,163,61,3,20
29073,2017,Fall,Math,183,96,4,15
28485,2017,Fall,Math,175,88,4,17
17706,2017,Fall,Math,156,41,2,22
22335,2017,Fall,Math,167,72,3,19
25653,2017,Fall,Math,162,58,3,21
10871,2017,Fall,Math,162,58,3,21
10128,2017,Fall,Math,176,89,4,17
19396,2017,Fall,Math,163,61,3,20
21938,2017,Fall,Math,173,84,4,18
26409,2017,Fall,Math,137,5,1,27
27548,2017,Fall,Math,186,98,4,15
23610,2017,Fall,Math,179,93,4,16
16050,2017,Fall,Math,158,47,2,22
15395,2017,Fall,Math,166,69,3,20
18691,2017,Fall,Math,174,86,4,18
12528,2017,Fall,Math,156,41,2,22
26710,2017,Fall,Math,187,98,4,14
16803,2017,Fall,Math,150,25,2,24
26333,2017,Fall,Math,142,10,1,26
27476,2017,Fall,Math,178,92,4,17
13051,2017,Fall,Math,162,58,3,21
14842,2017,Fall,Math,170,79,4,19
18256,2017,Fall,Math,149,23,1,24
13200,2017,Fall,Math,163,61,3,20
10586,2017,Fall,Math,164,64,3,20
15697,2017,Fall,Math,175,88,4,17
21255,2017,Fall,Math,166,69,3,20
23579,2017,Fall,Math,173,84,4,18
27945,2017,Fall,Math,148,21,1,24
24912,2017,Fall,Math,154,35,2,23
11286,2017,Fall,Math,156,41,2,22
18174,2017,Fall,Math,165,67,3,20
12877,2017,Fall,Math,159,50,3,21
19448,2017,Fall,Math,161,55,3,21
14293,2017,Fall,Math,167,72,3,19
19599,2017,Fall,Math,151,28,2,23
