student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
10006,2017,Spring,Math,214,78,4,.
10009,2017,Spring,Math,199,69,3,.
10035,2017,Spring,Math,176,36,2,.
10053,2017,Spring,Math,219,44,2,.
10120,2017,Spring,Math,220,38,2,.
10128,2017,Spring,Math,191,77,4,.
10150,2017,Spring,Math,188,38,2,.
10153,2017,Spring,Math,176,89,4,.
10156,2017,Spring,Math,235,92,4,.
10158,2017,Spring,Math,197,64,3,.
10194,2017,Spring,Math,235,58,3,.
10209,2017,Spring,Math,191,18,1,.
10213,2017,Spring,Math,210,41,2,.
10235,2017,Spring,Math,177,13,1,.
10241,2017,Spring,Math,183,56,3,.
10250,2017,Spring,Math,216,22,1,.
10312,2017,Spring,Math,199,69,3,.
10335,2017,Spring,Math,227,99,4,.
10355,2017,Spring,Math,161,55,3,.
10360,2017,Spring,Math,175,33,2,.
10406,2017,Spring,Math,219,64,3,.
10434,2017,Spring,Math,207,97,4,.
10443,2017,Spring,Math,128,1,1,.
10451,2017,Spring,Math,186,65,3,.
10458,2017,Spring,Math,179,45,2,.
10475,2017,Spring,Math,166,14,1,.
10495,2017,Spring,Math,195,27,2,.
10537,2017,Spring,Math,199,91,4,.
10540,2017,Spring,Math,213,30,2,.
10555,2017,Spring,Math,202,94,4,.
10559,2017,Spring,Math,196,61,3,.
10566,2017,Spring,Math,211,71,3,.
10574,2017,Spring,Math,184,59,3,.
10586,2017,Spring,Math,179,45,2,.
10600,2017,Spring,Math,229,51,3,.
10638,2017,Spring,Math,208,12,1,.
10642,2017,Spring,Math,179,45,2,.
10652,2017,Spring,Math,203,7,1,.
10658,2017,Spring,Math,188,13,1,.
10662,2017,Spring,Math,224,47,2,.
10671,2017,Spring,Math,211,15,1,.
10672,2017,Spring,Math,233,54,3,.
10696,2017,Spring,Math,226,61,3,.
10700,2017,Spring,Math,200,40,2,.
10713,2017,Spring,Math,203,7,1,.
10720,2017,Spring,Math,190,99,4,.
10763,2017,Spring,Math,201,43,2,.
10786,2017,Spring,Math,223,44,2,.
10804,2017,Spring,Math,189,5,1,.
10819,2017,Spring,Math,141,9,1,.
10824,2017,Spring,Math,172,26,2,.
10851,2017,Spring,Math,200,6,1,.
10858,2017,Spring,Math,233,68,3,.
10871,2017,Spring,Math,181,51,3,.
10883,2017,Spring,Math,243,79,4,.
10901,2017,Spring,Math,216,37,2,.
10920,2017,Spring,Math,210,18,1,.
10931,2017,Spring,Math,223,99,4,.
10939,2017,Spring,Math,219,87,4,.
10981,2017,Spring,Math,160,52,3,.
11013,2017,Spring,Math,200,5,1,.
11037,2017,Spring,Math,195,58,3,.
11056,2017,Spring,Math,214,78,4,.
11103,2017,Spring,Math,184,27,2,.
11148,2017,Spring,Math,155,38,2,.
11151,2017,Spring,Math,208,36,2,.
11167,2017,Spring,Math,202,46,2,.
11169,2017,Spring,Math,211,71,3,.
11176,2017,Spring,Math,179,45,2,.
11177,2017,Spring,Math,185,1,1,.
11213,2017,Spring,Math,229,46,2,.
11220,2017,Spring,Math,202,8,1,.
11286,2017,Spring,Math,185,62,3,.
11298,2017,Spring,Math,211,92,4,.
11302,2017,Spring,Math,213,19,1,.
11316,2017,Spring,Math,238,70,3,.
11318,2017,Spring,Math,225,78,4,.
11320,2017,Spring,Math,209,38,2,.
11346,2017,Spring,Math,190,17,1,.
11369,2017,Spring,Math,170,79,4,.
11378,2017,Spring,Math,194,56,3,.
11380,2017,Spring,Math,219,87,4,.
11387,2017,Spring,Math,196,87,4,.
11408,2017,Spring,Math,184,97,4,.
11412,2017,Spring,Math,162,58,3,.
11452,2017,Spring,Math,175,88,4,.
11457,2017,Spring,Math,192,20,1,.
11465,2017,Spring,Math,172,26,2,.
11472,2017,Spring,Math,188,4,1,.
11473,2017,Spring,Math,203,49,2,.
11512,2017,Spring,Math,227,54,3,.
11519,2017,Spring,Math,218,99,4,.
11538,2017,Spring,Math,202,77,4,.
11578,2017,Spring,Math,227,82,4,.
11595,2017,Spring,Math,126,1,1,.
11608,2017,Spring,Math,154,35,2,.
11635,2017,Spring,Math,165,67,3,.
11649,2017,Spring,Math,164,64,3,.
11661,2017,Spring,Math,206,31,2,.
11666,2017,Spring,Math,162,58,3,.
11702,2017,Spring,Math,193,9,1,.
