student_id,year,map_term,subject,rit_score,percentile,quartile,typical_fall_to_spring_growth
10006,2017,Spring,Reading,216,88,4,.
10009,2017,Spring,Reading,209,91,4,.
10035,2017,Spring,Reading,157,8,1,.
10053,2017,Spring,Reading,212,51,3,.
10074,2017,Spring,Reading,170,1,1,.
10120,2017,Spring,Reading,213,43,2,.
10128,2017,Spring,Reading,203,96,4,.
10150,2017,Spring,Reading,187,46,2,.
10153,2017,Spring,Reading,165,70,3,.
10156,2017,Spring,Reading,228,93,4,.
10158,2017,Spring,Reading,197,71,3,.
10194,2017,Spring,Reading,211,28,2,.
10209,2017,Spring,Reading,182,14,1,.
10213,2017,Spring,Reading,208,56,3,.
10235,2017,Spring,Reading,164,5,1,.
10241,2017,Spring,Reading,176,46,2,.
10250,2017,Spring,Reading,200,10,1,.
10312,2017,Spring,Reading,210,92,4,.
10335,2017,Spring,Reading,194,87,4,.
10355,2017,Spring,Reading,154,37,2,.
10360,2017,Spring,Reading,167,23,1,.
10406,2017,Spring,Reading,210,61,3,.
10434,2017,Spring,Reading,215,99,4,.
10443,2017,Spring,Reading,146,17,1,.
10451,2017,Spring,Reading,175,43,2,.
10458,2017,Spring,Reading,174,40,2,.
10475,2017,Spring,Reading,182,62,3,.
10495,2017,Spring,Reading,206,69,3,.
10537,2017,Spring,Reading,191,82,4,.
10540,2017,Spring,Reading,202,25,2,.
10555,2017,Spring,Reading,193,86,4,.
10559,2017,Spring,Reading,175,18,1,.
10566,2017,Spring,Reading,216,88,4,.
10574,2017,Spring,Reading,188,77,4,.
10586,2017,Spring,Reading,170,30,2,.
10600,2017,Spring,Reading,217,47,2,.
10638,2017,Spring,Reading,215,42,2,.
10642,2017,Spring,Reading,172,35,2,.
10652,2017,Spring,Reading,196,7,1,.
10658,2017,Spring,Reading,192,33,2,.
10662,2017,Spring,Reading,221,64,3,.
10671,2017,Spring,Reading,191,3,1,.
10672,2017,Spring,Reading,217,42,2,.
10696,2017,Spring,Reading,212,51,3,.
10700,2017,Spring,Reading,204,64,3,.
10713,2017,Spring,Reading,206,21,1,.
10720,2017,Spring,Reading,184,98,4,.
10763,2017,Spring,Reading,198,48,2,.
