student_id,program_name,student_id,Fall_Reading_rit_score,Spring_Reading_rit_score,Score_Changes,Goal,Goal_Change,Percentage_Kept
22938,.,22938,162,178,16,180,18,No
22431,.,22431,162,174,12,180,18,No
18048,.,18048,166,181,15,183,17,No
25452,.,25452,183,192,9,196,13,No
24621,.,24621,183,188,5,196,13,No
10241,.,10241,161,176,15,179,18,No
25649,.,25649,153,181,28,173,20,Yes
22326,.,22326,165,185,20,182,17,Yes
15104,.,15104,161,157,-4,179,18,No
18086,.,18086,168,184,16,185,17,No
22734,.,22734,164,201,37,182,18,Yes
26962,.,26962,188,204,16,200,12,Yes
18109,.,18109,169,174,5,185,16,No
12367,.,12367,171,181,10,187,16,No
11465,.,11465,153,174,21,173,20,Yes
28217,.,28217,182,199,17,196,14,Yes
20048,.,20048,167,188,21,184,17,Yes
27878,.,27878,160,168,8,178,18,No
19127,.,19127,175,177,2,190,15,No
22331,.,22331,163,165,2,181,18,No
25826,.,25826,153,166,13,173,20,No
19016,.,19016,193,194,1,204,11,No
22820,.,22820,178,199,21,192,14,Yes
17371,.,17371,183,196,13,196,13,Yes
17490,.,17490,162,190,28,180,18,Yes
15616,.,15616,161,172,11,179,18,No
10537,.,10537,177,191,14,192,15,No
19183,.,19183,172,174,2,188,16,No
22775,.,22775,185,195,10,198,13,No
17907,.,17907,159,175,16,178,19,No
16231,.,16231,162,169,7,180,18,No
22598,.,22598,175,190,15,190,15,Yes
16654,.,16654,163,182,19,181,18,Yes
19283,.,19283,190,196,6,202,12,No
16075,.,16075,158,153,-5,177,19,No
24998,.,24998,158,175,17,177,19,No
29109,.,29109,158,169,11,177,19,No
29131,.,29131,161,165,4,179,18,No
13887,.,13887,174,189,15,189,15,Yes
26182,.,26182,164,187,23,182,18,Yes
21805,.,21805,167,182,15,184,17,No
17569,.,17569,155,179,24,175,20,Yes
25813,.,25813,151,173,22,171,20,Yes
22255,.,22255,159,172,13,178,19,No
14719,.,14719,160,177,17,178,18,No
25157,.,25157,172,195,23,188,16,Yes
15352,.,15352,161,185,24,179,18,Yes
12611,.,12611,145,162,17,167,22,No
11176,.,11176,161,191,30,179,18,Yes
27184,.,27184,164,174,10,182,18,No
22262,.,22262,171,195,24,187,16,Yes
20244,.,20244,172,197,25,188,16,Yes
20538,.,20538,176,192,16,191,15,Yes
20765,.,20765,147,157,10,168,21,No
24547,.,24547,174,190,16,189,15,Yes
26468,.,26468,175,191,16,190,15,Yes
25212,.,25212,190,202,12,202,12,Yes
27715,.,27715,173,173,0,189,16,No
10574,.,10574,170,188,18,186,16,Yes
14892,.,14892,193,197,4,204,11,No
14598,.,14598,156,181,25,175,19,Yes
20680,.,20680,170,195,25,186,16,Yes
19375,.,19375,182,202,20,196,14,Yes
14487,.,14487,171,187,16,187,16,Yes
29073,.,29073,195,215,20,206,11,Yes
28485,.,28485,191,208,17,203,12,Yes
22335,.,22335,164,182,18,182,18,Yes
25653,.,25653,159,180,21,178,19,Yes
10871,.,10871,169,186,17,185,16,Yes
10128,.,10128,183,203,20,196,13,Yes
19396,.,19396,154,164,10,174,20,No
21938,.,21938,187,199,12,199,12,Yes
27548,.,27548,189,207,18,201,12,Yes
23610,.,23610,202,208,6,211,9,No
16050,.,16050,172,183,11,188,16,No
15395,.,15395,173,198,25,189,16,Yes
18691,.,18691,172,187,15,188,16,No
12528,.,12528,152,165,13,172,20,No
26710,.,26710,179,194,15,193,14,Yes
16803,.,16803,162,165,3,180,18,No
26333,.,26333,142,160,18,165,23,No
27476,.,27476,174,201,27,189,15,Yes
