student_id,program_name,student_id,Fall_Reading_rit_score,Spring_Reading_rit_score,Score_Changes,Goal,Goal_Change,Percentage_Kept
29019,504,29019,188,196,8,198,10,No
24112,504,24112,210,221,11,216,6,Yes
16933,504,16933,184,193,9,194,10,No
12321,504,12321,188,197,9,196,8,Yes
17875,Gifted,17875,194,196,2,203,9,No
26181,Gifted,26181,226,226,0,229,3,No
19944,Gifted,19944,198,185,-13,205,7,No
20430,Gifted,20430,206,214,8,212,6,Yes
20027,Gifted,20027,230,228,-2,233,3,No
22604,Gifted,22604,226,242,16,229,3,Yes
16067,Gifted,16067,228,223,-5,231,3,No
19547,Gifted,19547,216,216,0,221,5,No
13939,Gifted,13939,222,196,-26,226,4,No
18796,Gifted,18796,204,213,9,210,6,Yes
12260,Gifted,12260,227,237,10,229,2,Yes
14635,Gifted,14635,211,205,-6,215,4,No
11512,Gifted,11512,206,211,5,211,5,Yes
21147,Gifted,21147,190,202,12,198,8,Yes
24408,Gifted,24408,221,223,2,223,2,Yes
16479,Gifted,16479,226,228,2,228,2,Yes
18998,Gifted,18998,225,230,5,227,2,Yes
15308,Gifted,15308,217,223,6,220,3,Yes
18573,Gifted,18573,222,218,-4,225,3,No
10600,Gifted,10600,222,217,-5,225,3,No
14981,Gifted,14981,226,225,-1,228,2,No
21393,Gifted,21393,227,228,1,229,2,No
15312,Gifted,15312,230,232,2,232,2,Yes
19885,Gifted,19885,240,223,-17,242,2,No
13834,Gifted,13834,238,240,2,240,2,Yes
13023,Gifted,13023,216,220,4,219,3,Yes
13984,Gifted,13984,224,223,-1,226,2,No
13566,Gifted,13566,222,218,-4,224,2,No
19085,Gifted,19085,236,241,5,238,2,Yes
17380,Gifted,17380,219,239,20,222,3,Yes
11519,LEP,11519,168,174,6,185,17,No
16877,LEP,16877,171,190,19,183,12,Yes
19939,LEP,19939,192,201,9,202,10,No
12406,LEP,12406,198,206,8,205,7,Yes
14269,LEP,14269,214,217,3,218,4,No
29410,LEP,29410,209,215,6,214,5,Yes
14407,SPED,14407,151,153,2,171,20,No
26626,SPED,26626,151,173,22,171,20,Yes
17706,SPED,17706,167,156,-11,184,17,No
17262,SPED,17262,151,155,4,171,20,No
10035,SPED,10035,148,157,9,169,21,No
17332,SPED,17332,163,190,27,181,18,Yes
12101,SPED,12101,171,180,9,183,12,No
21616,SPED,21616,168,195,27,181,13,Yes
17353,SPED,17353,178,190,12,189,11,Yes
28751,SPED,28751,180,192,12,190,10,Yes
14466,SPED,14466,175,185,10,186,11,No
19809,SPED,19809,165,165,0,179,14,No
14179,SPED,14179,166,176,10,179,13,No
16256,SPED,16256,179,198,19,190,11,Yes
27761,SPED,27761,169,184,15,182,13,Yes
17212,SPED,17212,171,192,21,183,12,Yes
27524,SPED,27524,171,181,10,183,12,No
23405,SPED,23405,161,188,27,175,14,Yes
19094,SPED,19094,182,175,-7,192,10,No
23919,SPED,23919,157,165,8,172,15,No
27602,SPED,27602,176,192,16,187,11,Yes
24768,SPED,24768,175,169,-6,188,13,No
13122,SPED,13122,185,195,10,196,11,No
11457,SPED,11457,176,193,17,189,13,Yes
15373,SPED,15373,168,174,6,182,14,No
25150,SPED,25150,162,175,13,177,15,No
27609,SPED,27609,161,172,11,176,15,No
23043,SPED,23043,161,200,39,176,15,Yes
12890,SPED,12890,159,181,22,174,15,Yes
22318,SPED,22318,171,172,1,184,13,No
14606,SPED,14606,185,190,5,196,11,No
13773,SPED,13773,178,188,10,190,12,No
12987,SPED,12987,190,198,8,200,10,No
16775,SPED,16775,175,173,-2,186,11,No
18275,SPED,18275,169,185,16,181,12,Yes
14737,SPED,14737,192,182,-10,201,9,No
18312,SPED,18312,182,163,-19,192,10,No
23975,SPED,23975,200,191,-9,207,7,No
11472,SPED,11472,169,178,9,182,13,No
10074,SPED,10074,185,170,-15,195,10,No
25624,SPED,25624,184,186,2,193,9,No
11928,SPED,11928,194,203,9,202,8,Yes
